loan_type,purpose,occupancy,loan_amount,approve,location,county,race,coapplicant_race,sex,coapplicant_sex,income,units_purchased,married,dependents,years_in_job,s26a,self_employed,monthly_income,coapplicant_income,total_income,total_coapplicant_income,monthly_expense,purchase_price,other_financing,liquid_assets,credit_reports,met_guidlines,credit_lines,mcred,ccred,public_rec,mortgage_income,debt_income,rate_type,loan_term,appraised_value,type_of_property,sought_insurance,denied_mortgage,gift_or_grant,cosigner,unverified_info,reviewed,networth,unemployment_prob,rtdum,age,education,housing_expense,loan_value,high_val,loan_value_medium,loan_value_low,loan_val,no_hs,di_ccred,di_squared,loan_value_squared,credit_history
1,1,1,85,0,1120,1,1,3,0,2,24,1,0,1,30,12,0,2000,0,2000,446,650,90,0,4,1,0,7,2,6,0,0.27,31,1,360,105,1,1,1,N,0,0,1,3,3.2,1,1,college,0,0.80952381,0,1,0,medium,0,186,961,0.655328798,0
1,1,1,60,0,1120,1,1,8,1,4,22,1,0,0,22,22,0,800,0,1800,0,613.3,100,0,57,1,1,3,2,4,0,0.33,46,2,360,190,2,0,0,N,0,0,0,75.8,1.8,1,1,hs,1,0.315789474,0,0,1,low,0,184,2116,0.099722992,4
1,1,1,180,0,1120,1,1,3,0,1,83,1,0,6,11,3,0,5000,1917,5000,1917,1676,190,0,19.5,1,0,6,2,5,1,0.24,24,1,360,184,2,0,0,N,0,1,0,39.5,10.6,0,1,college,0,0.97826087,1,0,0,high,0,120,576,0.956994329,0
1,1,1,76,0,1120,1,1,3,1,2,19,1,1,1,5,5,0,1200,1854,1200,1854,654,80,0,28,2,0,17,1,2,0,0.19,22,2,360,80,1,1,1,Y,0,0,1,19.782,4.3,1,1,college,0,0.95,0,1,0,medium,0,44,484,0.9025,0
1,1,1,30,0,1120,1,1,8,0,4,44,1,0,0,7,7,0,5641,0,5960,0,341,47,0,39,1,1,12,2,1,0,0.05,18,2,180,160,1,0,0,N,0,1,1,118,2,0,1,hs,0,0.1875,0,0,1,low,0,18,324,0.03515625,1
1,1,1,88,0,1120,1,0,8,1,4,68,1,0,0,6,3,0,2960,0,2987,0,908.51,97.5,0,5.7,1,0,5,2,2,0,0.31,66,2,360,97.5,1,0,0,N,0,1,0,41.247,3.2,1,1,hs,1,0.902564103,0,1,0,medium,0,132,4356,0.814621959,0
1,1,1,80,0,1120,1,1,3,1,2,42,3,1,0,5,2,0,1875,1620,1875,1620,821,85,0,26,2,0,19,2,3,0,0.24,59,2,360,85,1,1,1,N,0,1,0,7.9,10.6,1,1,college,0,0.941176471,0,1,0,medium,0,177,3481,0.885813149,0
1,1,1,95,0,1120,1,1,8,0,4,42,1,0,0,9,9,0,3051,0,3051,0,995,100,0,5.6,1,0,10,2,3,1,0.32,35,2,360,101,1,1,1,N,0,1,1,67,3.9,1,1,college,1,0.940594059,0,1,0,medium,0,105,1225,0.884717185,0
1,1,1,132,0,1120,1,1,3,0,2,37,1,0,0,4,3,0,1164,1480,1684,1480,1367,139,0,8,2,0,1,2,4,0,0.51,52,2,360,139,2,1,1,Y,1,0,1,32,3.2,1,1,hs,1,0.949640288,0,1,0,medium,0,208,2704,0.901816676,0
1,1,1,123,0,1120,1,1,3,1,1,34,1,1,1,3.5,3.5,0,2138,1800,3074,1800,1322,140,0,16.5,4,0,10,2,3,0,0.27,42,2,360,140,2,1,1,N,1,1,1,16.5,3.2,1,1,hs,0,0.878571429,0,1,0,medium,0,126,1764,0.771887755,0
1,1,1,63,0,1120,1,1,8,0,4,19,1,1,0,3.75,3.75,0,1589,0,1589,0,522,67,1.7,1,1,1,7,2,1,0,0.33,49,2,360,101,1,1,1,Y,0,1,0,1.2,3.2,1,1,college,1,0.623762376,0,0,1,low,0,49,2401,0.389079502,1
1,1,1,75,0,1120,1,1,3,0,1,19,1,1,1,4,2,0,909,867,909,867,647,79,0,41,1,1,15,2,2,0,0.36,46,2,360,105,1,0,0,N,0,0,1,43.3,3.2,1,1,hs,1,0.714285714,0,0,1,low,0,92,2116,0.510204082,2
1,1,1,56,0,1120,1,1,3,1,1,31,1,0,0,1.75,1.5,0,1815,1305,1815,1305,608,88,0,487,3,0,18,2,1,0,0.19,25,2,360,125,2,0,0,N,0,0,1,13.6,1.8,1,1,hs,0,0.448,0,0,1,low,0,25,625,0.200704,0
1,1,1,70,0,1120,1,1,8,0,4,26,4,0,3,12,12,0,2117,0,2117,0,585,74.5,0,2.5,1,0,9,2,5,1,0.28,39,2,360,93,1,1,1,N,0,1,0,-3,2,1,1,college,0,0.752688172,0,0,1,low,0,195,1521,0.566539484,0
1,1,1,66,0,1120,1,1,8,0,4,106,1,0,1,7,2,0,2083,0,2083,0,542,70,0,3.5,1,0,0,2,4,0,0.26,26,2,360,88,1,0,0,N,0,1,0,8.5,3.2,1,1,hs,0,0.75,0,0,1,low,0,104,676,0.5625,0
1,1,1,85,0,1120,1,1,3,1,2,25,1,0,0,2,2,0,2085,0,2085,579,480,90,0,5.7,1,0,9,2,5,0,0.25,36,2,360,100,1,0,0,N,0,0,0,15,3.2,0,1,hs,0,0.85,0,1,0,medium,0,180,1296,0.7225,0
1,1,1,170,0,1120,1,1,8,0,4,28,1,0,0,3,3,0,2426,0,2426,0,1544.27,179.9,0,7.9,1,0,6,2,5,0,0.34,39,2,360,189.5,2,0,0,N,0,1,0,16.1,3.2,0,1,college,1,0.897097625,0,1,0,medium,0,195,1521,0.804784149,0
1,1,1,90,0,1120,1,1,8,0,4,35,1,0,3,7,4,0,2968,0,2968,0,784,95,0,6.4,1,0,8,2,5,1,0.26,36,2,360,105,1,0,0,N,0,1,0,16.4,3.9,1,1,hs,0,0.857142857,0,1,0,medium,0,180,1296,0.734693878,0
1,1,1,85,0,1120,1,1,3,1,2,33,1,0,2,3,3,0,2083,0,2083,666,649,90,0,1,2,0,5,2,6,1,0.237,25.3,2,360,104,1,1,1,N,0,1,0,3.8,3.9,1,1,hs,0,0.817307692,0,1,0,medium,0,151.8,640.09,0.667991864,0
1,1,1,139,0,1120,1,1,8,0,4,31,2,0,1,12,12,0,2291,0,2641,0,1315,147,0,6.4,1,0,9,2,5,0,0.49,83,2,360,147,2,0,0,N,0,1,0,13.6,3.9,1,1,college,1,0.945578231,0,1,0,medium,0,415,6889,0.894118191,0
1,1,1,83,0,1120,1,1,3,1,2,44,1,1,2,10,4,0,2364,1200,2364,1200,825,88,0,11.7,1,1,10,2,1,0,0.23,34,2,360,85,2,1,1,N,0,1,1,29,2,1,1,hs,0,0.976470588,1,0,0,high,0,34,1156,0.95349481,1
1,1,1,80,0,1120,1,1,8,1,4,43,1,0,0,10,8,0,3600,0,3600,0,959.82,100,15,15.5,1,1,0,2,4,0,0.23,27,1,360,100,1,0,0,N,0,0,1,44.6,3.2,0,1,college,0,0.8,0,0,1,low,0,108,729,0.64,4
1,1,1,71,0,1120,1,1,8,0,4,38,1,0,0,15,15,0,3180.08,0,3180.08,0,778.31,90,10,9.7,1,0,18,2,5,1,0.24,63,1,360,90,2,0,0,N,0,0,1,27.5,3.2,1,1,college,0,0.788888889,0,0,1,low,0,315,3969,0.622345679,0
1,1,1,103,0,1120,1,1,8,0,4,36,1,0,0,10,4,0,2746.96,0,2746.96,0,1078,129,17,999999.4,1,1,9,2,2,0,0.33,38,1,360,129,1,0,0,Y,0,0,1,30.4,2,1,1,college,1,0.798449612,0,0,1,low,0,76,1444,0.637521784,2
1,1,1,112,0,1120,1,1,3,0,1,72,1,1,1,10,10,0,2372,3653,2372,3653,1258.85,139,20.9,10.8,1,1,7,2,5,0,0.18,37,1,360,139,1,0,0,Y,0,0,1,59.3,3.9,1,1,college,0,0.805755396,0,1,0,medium,0,185,1369,0.649241758,5
1,1,1,78,0,1120,1,1,8,0,4,84,1,0,0,5.5,1.5,1,7000,0,7100,0,939.3,97,14.5,13,1,0,9,2,6,1,0.13,21,1,360,97,2,0,0,N,0,0,1,2.4,3.2,1,1,college,0,0.804123711,0,1,0,medium,0,126,441,0.646614943,0
1,1,1,160,0,1120,1,0,5,1,2,7,1,1,1,22,18,1,550,0,550,0,1673,280,0,25,1,0,19,3,1,0,3,300,2,360,280,2,0,0,N,0,1,1,-318,10.6,0,1,no_hs,1,0.571428571,0,0,1,low,1,300,90000,0.326530612,0
1,1,1,139,0,1120,1,0,5,1,2,88,1,1,3,12,12,0,3956,528,6794,528,1484,155,0,24.1,1,0,12,2,6,1,0.2,37,1,360,155,1,1,1,N,0,0,1,155.5,3.6,0,1,hs,0,0.896774194,0,1,0,medium,0,222,1369,0.804203954,0
1,1,1,116,0,1120,1,0,8,0,4,50,1,0,0,7,5,0,4166,0,4166,0,1296,129,0,8650,1,0,16,2,3,1,0.31,37,1,360,129,1,0,0,N,0,0,1,23448,3.2,0,1,college,1,0.899224806,0,1,0,medium,0,111,1369,0.808605252,0
1,1,1,95,0,1120,1,0,5,1,1,49,1,0,0,9,1.3,0,2194,1213,2194,1863,1108,106,0,16.4,2,0,2,2,6,1,0.27,39,2,360,106,1,0,0,N,0,0,0,44.35,3.1,0,1,college,0,0.896226415,0,1,0,medium,0,234,1521,0.803221787,0
1,1,1,92,0,1120,1,1,3,1,2,42,1,1,3,7,7,0,1408,1257,1408,1257,878,97,0,12,1,0,1,2,4,0,0.33,39,2,360,98,1,0,0,N,0,0,0,30,4.3,1,1,hs,1,0.93877551,0,1,0,medium,0,156,1521,0.881299459,0
1,1,1,176,0,1120,1,0,5,1,1,102,1,0,0,4,1,0,3750,4750,3750,4750,1686,208,0,40,2,1,18,1,1,0,0.2,33,2,360,208,1,0,0,N,0,0,0,-53,4.3,1,1,college,0,0.846153846,0,1,0,medium,0,33,1089,0.715976331,1
1,1,2,114,0,1120,1,0,5,1,2,44,1,1,1,11,11,0,3030,0,3610,0,2530,142,0,39,1,1,7,2,1,0,0.31,52,2,360,155,1,0,0,N,0,0,1,-24,2,0,1,college,1,0.735483871,0,0,1,low,0,52,2704,0.540936524,1
1,1,2,85,0,1120,1,0,8,1,4,261,1,1,0,999999.4,999999.4,0,0,0,20667,0,1008,109,0,108,1,1,21,2,1,0,0.02,7,1,360,110,1,0,0,N,0,1,1,-28,3.6,0,1,college,0,0.772727273,0,0,1,low,0,7,49,0.597107438,1
1,1,1,125,0,1120,1,1,3,1,2,48,1,1,2,8,8,0,2309,1255,2309,1255,1163,131,0,17,1,0,23,2,5,1,0.33,47,2,360,131,2,0,0,N,0,0,0,23,1.8,0,1,hs,1,0.954198473,1,0,0,high,0,235,2209,0.910494726,0
1,1,1,126,0,1120,1,1,3,1,2,51,1,1,2,6,6,0,3086,1047,3474,1047,1261,140,0,713,1,0,15,2,6,1,0.28,38,2,360,140,1,0,0,Y,0,0,0,32,2,0,1,college,0,0.9,0,1,0,medium,0,228,1444,0.81,0
1,1,1,77,0,1120,1,1,3,1,2,27,1,1,0,4,4,0,1667,583,1667,583,771,96,0,1,1,0,9,2,5,0,0.34,37,2,360,100,1,0,0,Y,0,0,0,-54,3.2,1,1,no_hs,1,0.77,0,0,1,low,1,185,1369,0.5929,0
1,1,1,114,0,1120,1,1,3,1,2,50,1,0,0,9,9,0,3045,0,3045,1138,1136,120,0,19,2,0,25,2,5,1,0.27,35,2,360,122,2,1,1,N,0,0,0,30,3.9,1,1,college,0,0.93442623,0,1,0,medium,0,175,1225,0.873152378,0
1,1,1,130,0,1120,1,1,3,1,2,42,1,1,2,4,1,0,1306,1302,1306,1302,1300,136,0,9,1,0,10,2,2,1,0.37,40,2,360,138,2,0,0,Y,0,0,0,22,3.9,1,1,hs,1,0.942028986,0,1,0,medium,0,80,1600,0.88741861,0
1,1,1,116,0,1120,1,1,3,1,2,62,1,1,0,3,3,0,2600,1911,2600,1911,1217,145,0,1,2,0,2,2,4,0,0.27,34,2,360,142,2,0,0,N,0,0,0,36,3.2,1,1,hs,0,0.816901408,0,1,0,medium,0,136,1156,0.667327911,0
1,1,1,150,0,1120,1,1,3,1,2,61,1,1,2,9,9,0,3340,1710,3340,1710,1356,165,0,101,1,0,10,2,6,1,0.27,45,1,360,165,2,0,0,N,0,0,0,202,4.3,1,1,college,0,0.909090909,0,1,0,medium,0,270,2025,0.826446281,0
1,1,1,160,0,1120,1,0,5,1,2,80,1,1,0,6,4,1,4199,2396,4199,2396,1710,173,0,21,2,1,15,2,2,0,0.31,40,2,360,173,2,0,0,N,0,0,0,14,3.2,0,1,college,1,0.924855491,0,1,0,medium,0,80,1600,0.85535768,2
1,1,1,112,0,1120,1,1,8,0,4,55,1,1,0,4,4,0,4583,0,4583,0,1256,140,0,36,1,1,9,2,1,0,0.27,38,2,360,109,1,0,0,N,0,0,0,40,3.2,0,1,college,0,1.027522936,1,0,0,high,0,38,1444,1.055803384,1
1,1,1,135,0,1120,1,0,8,0,4,71,1,0,0,10,6,0,5097,0,5530,0,1512,150,0,16,1,1,17,1,1,0,0.27,37,2,360,160,1,0,0,N,0,0,0,73,4.3,0,1,college,0,0.84375,0,1,0,medium,0,37,1369,0.711914063,1
1,1,1,177,0,1120,1,0,8,0,4,180,1,0,0,3,3,1,14987,0,14987,0,1987,196,0,43,1,1,11,2,5,1,0.13,16,2,360,125,1,0,0,N,0,0,0,126,3.2,0,1,college,0,1.416,1,0,0,high,0,80,256,2.005056,5
1,1,1,95,0,1120,1,0,8,1,4,37,1,0,0,7,7,0,3066,0,3066,0,941,100,0,33,1,1,14,2,2,0,0.31,37,2,360,117,2,1,1,N,0,0,0,91,10.6,0,1,college,1,0.811965812,0,1,0,medium,0,74,1369,0.65928848,2
1,1,1,104,0,1120,1,1,3,1,2,62,1,1,1,16,6,0,3500,1658,3500,1658,1145,130,0,7,3,0,9,2,5,1,0.24,37,2,360,130,1,0,0,N,0,1,1,3,3.9,0,1,college,0,0.8,0,0,1,low,0,185,1369,0.64,0
1,1,1,117,0,1120,1,1,3,1,2,51,1,1,1,9,9,0,1903,1810,2463,2360,1373,144,0,22,4,0,3,2,5,0,0.33,33,2,360,130,1,0,0,N,0,0,1,39,2,1,1,hs,1,0.9,0,1,0,medium,0,165,1089,0.81,0
1,1,1,132,0,1120,1,1,3,1,2,94,1,1,0,10,5,0,3593,4266,3593,4266,1237,165,0,42,4,0,36,2,6,1,0.17,38,2,180,152,1,0,0,N,0,0,1,60,3.1,0,1,college,0,0.868421053,0,1,0,medium,0,228,1444,0.754155125,0
1,1,1,117,0,1120,1,1,3,0,1,92,1,0,0,4,4,0,1872,1451,2274,5211,1440,133,0,40,6,0,41,2,5,1,0.19,34,2,360,130,2,0,0,N,0,1,1,77,3.2,1,1,college,0,0.9,0,1,0,medium,0,170,1156,0.81,0
1,1,1,84,0,1120,1,1,8,0,4,55,1,1,0,3,3,0,4583,0,4583,0,990,105,0,32,3,1,11,2,1,0,0.23,39,2,360,105,1,0,0,N,0,1,1,52,3.2,0,1,college,0,0.8,0,0,1,low,0,39,1521,0.64,1
1,1,1,112,0,1120,1,1,8,1,4,22,1,0,0,5,3,0,1843,0,4826,0,1145,140,0,58,2,0,11,2,6,1,0.66,74,2,180,140,1,0,0,N,0,1,1,81,3.2,1,1,college,1,0.8,0,0,1,low,0,444,5476,0.64,0
1,1,1,105,0,1120,1,0,5,1,2,49,1,1,0,8,4,0,2600,1517,3887,1517,1193,117,0,28,4,0,0,2,4,0,0.22,25,2,360,100,1,0,0,N,0,1,1,57,3.6,0,1,college,0,1.05,1,0,0,high,0,100,625,1.1025,0
1,1,1,71,0,1120,1,1,8,1,4,27,1,0,0,7,5,1,2750,0,2750,0,810,79,0,14,2,0,0,2,4,0,0.36,43,2,180,80,1,0,0,N,0,0,1,54,3.9,1,1,college,1,0.8875,0,1,0,medium,0,172,1849,0.78765625,0
1,1,1,126,0,1120,1,1,8,0,4,38,1,0,2,17,3,0,3840,0,3840,0,1202,140,0,36,2,0,5,2,5,0,0.39,39,2,180,145,2,0,0,N,0,0,1,84,3.6,1,1,college,1,0.868965517,0,1,0,medium,0,195,1521,0.75510107,0
1,1,1,76,0,1120,1,1,3,1,1,39,1,0,0,5,5,0,1733,858,2693,2071,781,95,0,37,4,0,3,2,4,0,0.25,29,2,180,109,1,0,0,N,0,1,0,75,4.3,0,1,college,0,0.697247706,0,0,1,low,0,116,841,0.486154364,0
1,1,1,57,0,1120,1,1,3,1,2,56,1,1,0,10,10,0,2968,833,3772,833,679,85,0,1.5,1,0,6,3,6,0,0.151,36.7,2,360,73,2,0,0,N,0,0,1,7.1,3.9,1,1,college,0,0.780821918,0,0,1,low,0,220.2,1346.89,0.609682867,0
1,1,1,83,0,1120,1,0,8,1,4,46,1,0,0,3.5,2.5,0,3808,0,3808,0,896,110,0,47,1,1,9,2,1,0,0.23,36,2,360,110,2,0,0,N,0,1,1,51,4.3,1,1,hs,0,0.754545455,0,0,1,low,0,36,1296,0.569338843,1
1,1,1,67,0,1120,1,0,5,1,1,84,1,0,0,1.5,0.5,0,1916,5063,1916,5063,749,74,0,21,2,1,17,2,1,0,0.1038,26.79,1,360,74,1,0,0,Y,0,0,0,310,3.2,0,1,college,0,0.905405405,0,1,0,medium,0,26.79,717.7041,0.819758948,1
1,1,1,131,0,1120,1,0,5,0,2,38,1,0,0,5,5,0,1594,1166,2027,1166,1194,145,0,29,2,1,12,2,1,0,0.2658,34.66,1,360,125,2,0,0,N,0,0,0,78,3.6,0,1,hs,0,1.048,1,0,0,high,0,34.66,1201.3156,1.098304,1
1,1,1,94,0,1120,1,1,3,0,1,56,1,1,3,6,3,0,1750,1941,1750,2935,987,118,34,6,1,0,18,1,6,1,0.1992,28.66,1,360,118,2,0,0,N,0,0,0,93,1.8,0,1,college,0,0.796610169,0,0,1,low,0,171.96,821.3956,0.634587762,0
1,1,1,104,0,1120,1,1,7,0,3,38,1,0,0,7,7,0,3131,0,3131,0,916,139,28,44,1,1,11,2,1,0,0.36,44,1,480,139,1,0,0,N,0,0,0,55,3.6,0,1,hs,1,0.748201439,0,0,1,low,0,44,1936,0.559805393,1
1,1,1,123,0,1120,1,1,3,1,1,69,1,1,3,4,4,0,2400,1500,3400,2500,1200,129,0,13,2,0,32,2,6,0,0.203,25.42,2,360,129,2,0,0,N,0,0,1,27.3,3.2,0,1,college,0,0.953488372,1,0,0,high,0,152.52,646.1764,0.909140076,0
1,1,1,171,0,1120,1,1,8,1,4,46,1,0,0,12,2,0,2999,0,4774,0,1341,140,0,21.6,2,1,7,2,2,0,0.281,36.8,2,360,138,2,1,0,Y,0,0,1,20.9,2,1,1,college,0,1.239130435,1,0,0,high,0,73.6,1354.24,1.535444234,2
1,1,1,158,0,1120,1,0,5,1,2,999999.4,1,1,4,18,7,0,3036,1906,3036,2504,1442,210,39,188,1,0,13,2,6,1,0.29,42,1,360,237,1,0,0,N,0,0,1,239,10.6,0,1,hs,0,0.666666667,0,0,1,low,0,252,1764,0.444444444,0
1,1,1,98,0,1120,1,1,8,1,4,49,1,0,0,5,5,0,4166,0,4166,0,1196,123,0,33,1,0,31,1,6,1,0.26,32,2,360,130,1,0,0,N,0,0,0,82,3.1,0,1,college,0,0.753846154,0,0,1,low,0,192,1024,0.568284024,0
1,1,1,96,0,1120,1,0,8,1,4,48,1,0,0,2,2,0,4083,0,4083,0,1057,120,0,52,1,1,14,2,2,0,0.26,35,2,360,118,1,0,0,N,0,0,1,120,4.3,0,1,college,0,0.813559322,0,1,0,medium,0,70,1225,0.66187877,2
1,1,1,112,1,1120,1,0,5,1,1,63,1,0,0,2,2,0,3000,2250,3000,2250,1190,140,5,12,0,1,20,2,3,0,0.23,32,1,360,140,1,0,0,N,0,0,1,53,3.1,0,1,hs,0,0.8,0,0,1,low,0,96,1024,0.64,3
1,1,1,104,1,1120,1,1,8,0,4,39,1,0,0,14,14,0,3215,0,3215,0,1042,115,0,6,0,0,14,2,6,1,0.32,44,1,360,115,1,0,0,Y,0,0,1,-1,3.2,0,1,college,1,0.904347826,0,1,0,medium,0,264,1936,0.817844991,0
1,1,1,119,1,1120,1,1,8,0,4,66,1,0,0,3,3,0,2426,0,3638,0,923,125,0,1,0,0,21,2,5,1,0.27,41,1,360,125,1,0,0,Y,0,0,1,-7,3.2,0,1,college,0,0.952,1,0,0,high,0,205,1681,0.906304,0
1,1,2,80,1,1120,1,1,3,1,2,147,1,1,1,1,1,1,0,12256,0,12256,0,100,0,79,0,1,12,1,5,0,0,39.5,1,360,102,1,0,0,N,0,0,1,1172,1.8,0,1,college,0,0.784313725,0,0,1,low,0,197.5,1560.25,0.61514802,5
1,1,1,156,1,1120,1,1,8,0,4,24,3,1,0,5,0.25,0,1440,0,2016,0,1439,165,0,6,2,0,17,1,2,0,0.19,22,2,360,80,1,1,1,Y,0,0,1,20,3.2,1,1,college,0,1.95,1,0,0,high,0,44,484,3.8025,0
1,1,1,60,1,1120,1,1,3,1,2,74,1,1,0,35,15,0,2400,1800,2400,3800,878,207,0,112.7,1,1,3,2,1,0,0.14,14,1,180,215,1,0,0,N,0,0,1,307.5,3.6,0,1,hs,0,0.279069767,0,0,1,low,0,14,196,0.077879935,1
1,1,1,81,1,1120,1,0,8,0,4,58,1,0,1,5,3,0,4723,0,4723,0,795,101,0,10,2,1,22,1,6,0,0.17,33,2,360,105,2,0,0,N,0,0,0,199,10.6,1,1,college,0,0.771428571,0,0,1,low,0,198,1089,0.595102041,6
1,1,1,85,1,1120,1,0,5,1,2,35,1,1,4,9,9,0,2252,0,2885,0,764,89,0,5,1,1,8,2,6,0,0.26,31,2,360,115,2,1,0,Y,0,0,0,13,3.1,1,1,hs,0,0.739130435,0,0,1,low,0,186,961,0.5463138,6
1,1,1,71,1,1120,1,0,8,1,4,78,1,0,0,5,3,0,6500,0,6500,0,776,88,0,29,2,0,22,3,4,0,0.12,38,2,360,90,1,0,0,N,0,0,0,-54,3.2,0,1,college,0,0.788888889,0,0,1,low,0,152,1444,0.622345679,0
1,1,1,120,1,1120,1,0,8,1,4,999999.4,1,0,0,7,3,0,4167,0,4667,0,1183,179,0,89,1,1,15,2,1,0,0.28,34,2,360,180,1,0,0,N,0,0,0,92,1.8,1,1,college,0,0.666666667,0,0,1,low,0,34,1156,0.444444444,1
1,1,1,81,1,1120,1,0,2,0,2,78,1,0,1,10,10,0,600,3333,1850,4583,951,108,0,171,2,1,41,1,1,0,0.15,31,1,360,110,1,0,0,Y,0,0,0,1416,4.3,0,1,college,0,0.736363636,0,0,1,low,0,31,961,0.542231405,1
